Category,Value
pico farads,115 picof
pico farads,120 picof
pico farads,125 picof
pico farads,130 picof
pico farads,135 picof
pico farads,140 picof
pico farads,145 picof
pico farads,150 picof
pico farads,155 picof
pico farads,160 picof
pico farads,165 picof
pico farads,170 picof
pico farads,175 picof
pico farads,180 picof
pico farads,185 picof
pico farads,190 picof
pico farads,195 picof
pico farads,0 picoF
pico farads,5 picoF
pico farads,10 picoF
pico farads,15 picoF
pico farads,20 picoF
pico farads,25 picoF
pico farads,30 picoF
pico farads,35 picoF
pico farads,40 picoF
pico farads,45 picoF
pico farads,50 picoF
pico farads,55 picoF
pico farads,60 picoF
pico farads,65 picoF
pico farads,70 picoF
pico farads,75 picoF
pico farads,80 picoF
pico farads,85 picoF
pico farads,90 picoF
pico farads,95 picoF
pico farads,100 picoF
pico farads,105 picoF
pico farads,110 picoF
pico farads,115 picoF
pico farads,120 picoF
pico farads,125 picoF
pico farads,130 picoF
pico farads,135 picoF
pico farads,140 picoF
pico farads,145 picoF
pico farads,150 picoF
pico farads,155 picoF
pico farads,160 picoF
pico farads,165 picoF
pico farads,170 picoF
pico farads,175 picoF
pico farads,180 picoF
pico farads,185 picoF
pico farads,190 picoF
pico farads,195 picoF
pico farads,0 picofarads
pico farads,5 picofarads
pico farads,10 picofarads
pico farads,15 picofarads
pico farads,20 picofarads
pico farads,25 picofarads
pico farads,30 picofarads
pico farads,35 picofarads
pico farads,40 picofarads
pico farads,45 picofarads
pico farads,50 picofarads
pico farads,55 picofarads
pico farads,60 picofarads
pico farads,65 picofarads
pico farads,70 picofarads
pico farads,75 picofarads
pico farads,80 picofarads
pico farads,85 picofarads
pico farads,90 picofarads
pico farads,95 picofarads
pico farads,100 picofarads
pico farads,105 picofarads
pico farads,110 picofarads
pico farads,115 picofarads
pico farads,120 picofarads
pico farads,125 picofarads
pico farads,130 picofarads
pico farads,135 picofarads
pico farads,140 picofarads
pico farads,145 picofarads
pico farads,150 picofarads
pico farads,155 picofarads
pico farads,160 picofarads
pico farads,165 picofarads
pico farads,170 picofarads
pico farads,175 picofarads
pico farads,180 picofarads
pico farads,185 picofarads
pico farads,190 picofarads
pico farads,195 picofarads
pico farads,0 picofarad
pico farads,5 picofarad
pico farads,10 picofarad
pico farads,15 picofarad
pico farads,20 picofarad
pico farads,25 picofarad
pico farads,30 picofarad
pico farads,35 picofarad
pico farads,40 picofarad
pico farads,45 picofarad
pico farads,50 picofarad
pico farads,55 picofarad
pico farads,60 picofarad
pico farads,65 picofarad
pico farads,70 picofarad
pico farads,75 picofarad
pico farads,80 picofarad
pico farads,85 picofarad
pico farads,90 picofarad
pico farads,95 picofarad
pico farads,100 picofarad
pico farads,105 picofarad
pico farads,110 picofarad
pico farads,115 picofarad
pico farads,120 picofarad
pico farads,125 picofarad
pico farads,130 picofarad
pico farads,135 picofarad
pico farads,140 picofarad
pico farads,145 picofarad
pico farads,150 picofarad
pico farads,155 picofarad
pico farads,160 picofarad
pico farads,165 picofarad
pico farads,170 picofarad
pico farads,175 picofarad
pico farads,180 picofarad
pico farads,185 picofarad
pico farads,190 picofarad
pico farads,195 picofarad
farads,1 f
farads,1f
farads,1 to 6 f
farads,2 f
farads,2f
farads,2 to 7 f
farads,3 f
farads,3f
farads,3 to 8 f
farads,4 f
farads,4f
farads,4 to 9 f
farads,5 f
farads,5f
farads,5 to 10 f
farads,6 f
farads,6f
farads,6 to 11 f
farads,7 f
farads,7f
farads,7 to 12 f
farads,8 f
farads,8f
farads,8 to 13 f
farads,0 f
farads,0f
farads,0 to 20 f
farads,20 f
farads,20f
farads,20 to 40 f
farads,40 f
farads,40f
farads,40 to 60 f
farads,60 f
farads,60f
farads,60 to 80 f
farads,80 f
farads,80f
farads,80 to 100 f
farads,100 f
farads,100f
farads,100 to 120 f
farads,100 f
farads,100f
farads,100 to 150 f
farads,121 f
farads,121f
farads,121 to 171 f
farads,142 f
farads,142f
farads,142 to 192 f
farads,163 f
farads,163f
farads,163 to 213 f
farads,184 f
farads,184f
farads,184 to 234 f
farads,205 f
farads,205f
farads,205 to 255 f
farads,226 f
farads,226f
farads,226 to 276 f
farads,247 f
farads,247f
farads,247 to 297 f
farads,268 f
farads,268f
farads,268 to 318 f
farads,289 f
farads,289f
farads,289 to 339 f
farads,0.0 f
farads,0f
farads,0.005 f
farads,1f
farads,0.01 f
farads,2f
farads,0.015 f
farads,3f
farads,0.02 f
farads,4f
farads,0.025 f
farads,5f
farads,0.03 f
farads,6f
farads,0.035 f
farads,7f
farads,0.04 f
farads,8f
farads,0.045 f
farads,9f
farads,0.0 f
farads,0f
farads,0.0 to 10 f
farads,0.015 f
farads,1f
farads,0.015 to 11 f
farads,0.03 f
farads,2f
farads,0.03 to 12 f
farads,0.045 f
farads,3f
farads,0.045 to 13 f
farads,0.06 f
farads,4f
farads,0.06 to 14 f
farads,0.075 f
farads,5f
farads,0.075 to 15 f
farads,0.09 f
farads,6f
farads,0.09 to 16 f
farads,0.105 f
farads,7f
farads,0.105 to 17 f
farads,0.12 f
farads,8f
farads,0.12 to 18 f
farads,0.135 f
farads,9f
farads,0.135 to 19 f
farads,1 F
farads,1F
farads,1 to 6 F
farads,2 F
farads,2F
farads,2 to 7 F
farads,3 F
farads,3F
farads,3 to 8 F
farads,4 F
farads,4F
farads,4 to 9 F
farads,5 F
farads,5F
farads,5 to 10 F
farads,6 F
farads,6F
farads,6 to 11 F
farads,7 F
farads,7F
farads,7 to 12 F
farads,8 F
farads,8F
farads,8 to 13 F
farads,0 F
farads,0F
farads,0 to 20 F
farads,20 F
farads,20F
farads,20 to 40 F
farads,40 F
farads,40F
farads,40 to 60 F
farads,60 F
farads,60F
farads,60 to 80 F
farads,80 F
farads,80F
farads,80 to 100 F
farads,100 F
farads,100F
farads,100 to 120 F
farads,100 F
farads,100F
farads,100 to 150 F
farads,121 F
farads,121F
farads,121 to 171 F
farads,142 F
farads,142F
farads,142 to 192 F
farads,163 F
farads,163F
farads,163 to 213 F
farads,184 F
farads,184F
farads,184 to 234 F
farads,205 F
farads,205F
farads,205 to 255 F
farads,226 F
farads,226F
farads,226 to 276 F
farads,247 F
farads,247F
farads,247 to 297 F
farads,268 F
farads,268F
farads,268 to 318 F
farads,289 F
farads,289F
farads,289 to 339 F
farads,0.0 F
farads,0F
farads,0.005 F
farads,1F
farads,0.01 F
farads,2F
farads,0.015 F
farads,3F
farads,0.02 F
farads,4F
farads,0.025 F
farads,5F
farads,0.03 F
farads,6F
farads,0.035 F
farads,7F
farads,0.04 F
farads,8F
farads,0.045 F
farads,9F
farads,0.0 F
farads,0F
farads,0.0 to 10 F
farads,0.015 F
farads,1F
farads,0.015 to 11 F
farads,0.03 F
farads,2F
farads,0.03 to 12 F
farads,0.045 F
farads,3F
farads,0.045 to 13 F
farads,0.06 F
farads,4F
farads,0.06 to 14 F
farads,0.075 F
farads,5F
farads,0.075 to 15 F
farads,0.09 F
farads,6F
farads,0.09 to 16 F
farads,0.105 F
farads,7F
farads,0.105 to 17 F
farads,0.12 F
farads,8F
farads,0.12 to 18 F
farads,0.135 F
farads,9F
farads,0.135 to 19 F
farads,1 farads
farads,1farads
farads,1 to 6 farads
farads,2 farads
farads,2farads
farads,2 to 7 farads
farads,3 farads
farads,3farads
farads,3 to 8 farads
farads,4 farads
farads,4farads
farads,4 to 9 farads
farads,5 farads
farads,5farads
farads,5 to 10 farads
farads,6 farads
farads,6farads
farads,6 to 11 farads
farads,7 farads
farads,7farads
farads,7 to 12 farads
farads,8 farads
farads,8farads
farads,8 to 13 farads
farads,0 farads
farads,0farads
farads,0 to 20 farads
farads,20 farads
farads,20farads
farads,20 to 40 farads
farads,40 farads
farads,40farads
farads,40 to 60 farads
farads,60 farads
farads,60farads
farads,60 to 80 farads
farads,80 farads
farads,80farads
farads,80 to 100 farads
farads,100 farads
farads,100farads
farads,100 to 120 farads
farads,100 farads
farads,100farads
farads,100 to 150 farads
farads,121 farads
farads,121farads
farads,121 to 171 farads
farads,142 farads
farads,142farads
farads,142 to 192 farads
farads,163 farads
farads,163farads
farads,163 to 213 farads
farads,184 farads
farads,184farads
farads,184 to 234 farads
farads,205 farads
farads,205farads
farads,205 to 255 farads
farads,226 farads
farads,226farads
farads,226 to 276 farads
farads,247 farads
farads,247farads
farads,247 to 297 farads
farads,268 farads
farads,268farads
farads,268 to 318 farads
farads,289 farads
farads,289farads
farads,289 to 339 farads
farads,0.0 farads
farads,0farads
farads,0.005 farads
farads,1farads
farads,0.01 farads
farads,2farads
farads,0.015 farads
farads,3farads
farads,0.02 farads
farads,4farads
farads,0.025 farads
farads,5farads
farads,0.03 farads
farads,6farads
farads,0.035 farads
farads,7farads
farads,0.04 farads
farads,8farads
farads,0.045 farads
farads,9farads
farads,0.0 farads
farads,0farads
farads,0.0 to 10 farads
farads,0.015 farads
farads,1farads
farads,0.015 to 11 farads
farads,0.03 farads
farads,2farads
farads,0.03 to 12 farads
farads,0.045 farads
farads,3farads
farads,0.045 to 13 farads
farads,0.06 farads
farads,4farads
farads,0.06 to 14 farads
farads,0.075 farads
farads,5farads
farads,0.075 to 15 farads
farads,0.09 farads
farads,6farads
farads,0.09 to 16 farads
farads,0.105 farads
farads,7farads
farads,0.105 to 17 farads
farads,0.12 farads
farads,8farads
farads,0.12 to 18 farads
farads,0.135 farads
farads,9farads
farads,0.135 to 19 farads
farads,1 Farads
farads,1Farads
farads,1 to 6 Farads
farads,2 Farads
farads,2Farads
farads,2 to 7 Farads
farads,3 Farads
farads,3Farads
farads,3 to 8 Farads
farads,4 Farads
farads,4Farads
farads,4 to 9 Farads
farads,5 Farads
farads,5Farads
farads,5 to 10 Farads
farads,6 Farads
farads,6Farads
farads,6 to 11 Farads
farads,7 Farads
farads,7Farads
farads,7 to 12 Farads
farads,8 Farads
farads,8Farads
farads,8 to 13 Farads
farads,0 Farads
farads,0Farads
farads,0 to 20 Farads
farads,20 Farads
farads,20Farads
farads,20 to 40 Farads
farads,40 Farads
farads,40Farads
farads,40 to 60 Farads
farads,60 Farads
farads,60Farads
farads,60 to 80 Farads
farads,80 Farads
farads,80Farads
farads,80 to 100 Farads
farads,100 Farads
farads,100Farads
farads,100 to 120 Farads
farads,100 Farads
farads,100Farads
farads,100 to 150 Farads
farads,121 Farads
farads,121Farads
farads,121 to 171 Farads
farads,142 Farads
farads,142Farads
farads,142 to 192 Farads
farads,163 Farads
farads,163Farads
farads,163 to 213 Farads
farads,184 Farads
farads,184Farads
farads,184 to 234 Farads
farads,205 Farads
farads,205Farads
farads,205 to 255 Farads
farads,226 Farads
farads,226Farads
farads,226 to 276 Farads
farads,247 Farads
farads,247Farads
farads,247 to 297 Farads
farads,268 Farads
farads,268Farads
farads,268 to 318 Farads
farads,289 Farads
farads,289Farads
farads,289 to 339 Farads
farads,0.0 Farads
farads,0Farads
farads,0.005 Farads
farads,1Farads
farads,0.01 Farads
farads,2Farads
farads,0.015 Farads
farads,3Farads
farads,0.02 Farads
farads,4Farads
farads,0.025 Farads
farads,5Farads
farads,0.03 Farads
farads,6Farads
farads,0.035 Farads
farads,7Farads
farads,0.04 Farads
farads,8Farads
farads,0.045 Farads
farads,9Farads
farads,0.0 Farads
farads,0Farads
farads,0.0 to 10 Farads
farads,0.015 Farads
farads,1Farads
farads,0.015 to 11 Farads
farads,0.03 Farads
farads,2Farads
farads,0.03 to 12 Farads
farads,0.045 Farads
farads,3Farads
farads,0.045 to 13 Farads
farads,0.06 Farads
farads,4Farads
farads,0.06 to 14 Farads
farads,0.075 Farads
farads,5Farads
farads,0.075 to 15 Farads
farads,0.09 Farads
farads,6Farads
farads,0.09 to 16 Farads
farads,0.105 Farads
farads,7Farads
farads,0.105 to 17 Farads
farads,0.12 Farads
farads,8Farads
farads,0.12 to 18 Farads
farads,0.135 Farads
farads,9Farads
farads,0.135 to 19 Farads
farads,1 farad
farads,1farad
farads,1 to 6 farad
farads,2 farad
farads,2farad
farads,2 to 7 farad
farads,3 farad
farads,3farad
farads,3 to 8 farad
farads,4 farad
farads,4farad
farads,4 to 9 farad
farads,5 farad
farads,5farad
farads,5 to 10 farad
farads,6 farad
farads,6farad
farads,6 to 11 farad
farads,7 farad
farads,7farad
farads,7 to 12 farad
farads,8 farad
farads,8farad
farads,8 to 13 farad
farads,0 farad
farads,0farad
farads,0 to 20 farad
farads,20 farad
farads,20farad
farads,20 to 40 farad
farads,40 farad
farads,40farad
farads,40 to 60 farad
farads,60 farad
farads,60farad
farads,60 to 80 farad
farads,80 farad
farads,80farad
farads,80 to 100 farad
farads,100 farad
farads,100farad
farads,100 to 120 farad
farads,100 farad
farads,100farad
farads,100 to 150 farad
farads,121 farad
farads,121farad
farads,121 to 171 farad
farads,142 farad
farads,142farad
farads,142 to 192 farad
farads,163 farad
farads,163farad
farads,163 to 213 farad
farads,184 farad
farads,184farad
farads,184 to 234 farad
farads,205 farad
farads,205farad
farads,205 to 255 farad
farads,226 farad
farads,226farad
farads,226 to 276 farad
farads,247 farad
farads,247farad
farads,247 to 297 farad
farads,268 farad
farads,268farad
farads,268 to 318 farad
farads,289 farad
farads,289farad
farads,289 to 339 farad
farads,0.0 farad
farads,0farad
farads,0.005 farad
farads,1farad
farads,0.01 farad
farads,2farad
farads,0.015 farad
farads,3farad
farads,0.02 farad
farads,4farad
farads,0.025 farad
farads,5farad
farads,0.03 farad
farads,6farad
farads,0.035 farad
farads,7farad
farads,0.04 farad
farads,8farad
farads,0.045 farad
farads,9farad
farads,0.0 farad
farads,0farad
farads,0.0 to 10 farad
farads,0.015 farad
farads,1farad
farads,0.015 to 11 farad
farads,0.03 farad
farads,2farad
farads,0.03 to 12 farad
farads,0.045 farad
farads,3farad
farads,0.045 to 13 farad
farads,0.06 farad
farads,4farad
farads,0.06 to 14 farad
farads,0.075 farad
farads,5farad
farads,0.075 to 15 farad
farads,0.09 farad
farads,6farad
farads,0.09 to 16 farad
farads,0.105 farad
farads,7farad
farads,0.105 to 17 farad
farads,0.12 farad
farads,8farad
farads,0.12 to 18 farad
farads,0.135 farad
farads,9farad
farads,0.135 to 19 farad
farads,1 farads
farads,1farads
farads,1 to 6 farads
farads,2 farads
farads,2farads
farads,2 to 7 farads
farads,3 farads
farads,3farads
farads,3 to 8 farads
farads,4 farads
farads,4farads
farads,4 to 9 farads
farads,5 farads
farads,5farads
farads,5 to 10 farads
farads,6 farads
farads,6farads
farads,6 to 11 farads
farads,7 farads
farads,7farads
farads,7 to 12 farads
farads,8 farads
farads,8farads
farads,8 to 13 farads
farads,0 farads
farads,0farads
farads,0 to 20 farads
farads,20 farads
farads,20farads
farads,20 to 40 farads
farads,40 farads
farads,40farads
farads,40 to 60 farads
farads,60 farads
farads,60farads
farads,60 to 80 farads
farads,80 farads
farads,80farads
farads,80 to 100 farads
farads,100 farads
farads,100farads
farads,100 to 120 farads
farads,100 farads
farads,100farads
farads,100 to 150 farads
farads,121 farads
farads,121farads
farads,121 to 171 farads
farads,142 farads
farads,142farads
farads,142 to 192 farads
farads,163 farads
farads,163farads
farads,163 to 213 farads
farads,184 farads
farads,184farads
farads,184 to 234 farads
farads,205 farads
farads,205farads
farads,205 to 255 farads
farads,226 farads
farads,226farads
farads,226 to 276 farads
farads,247 farads
farads,247farads
farads,247 to 297 farads
farads,268 farads
farads,268farads
farads,268 to 318 farads
farads,289 farads
farads,289farads
farads,289 to 339 farads
farads,0.0 farads
farads,0farads
farads,0.005 farads
farads,1farads
farads,0.01 farads
farads,2farads
farads,0.015 farads
farads,3farads
farads,0.02 farads
farads,4farads
farads,0.025 farads
farads,5farads
farads,0.03 farads
farads,6farads
farads,0.035 farads
farads,7farads
farads,0.04 farads
farads,8farads
farads,0.045 farads
farads,9farads
farads,0.0 farads
farads,0farads
farads,0.0 to 10 farads
farads,0.015 farads
farads,1farads
farads,0.015 to 11 farads
farads,0.03 farads
farads,2farads
farads,0.03 to 12 farads
farads,0.045 farads
farads,3farads
farads,0.045 to 13 farads
farads,0.06 farads
farads,4farads
farads,0.06 to 14 farads
farads,0.075 farads
farads,5farads
farads,0.075 to 15 farads
farads,0.09 farads
farads,6farads
farads,0.09 to 16 farads
farads,0.105 farads
farads,7farads
farads,0.105 to 17 farads
farads,0.12 farads
farads,8farads
farads,0.12 to 18 farads
farads,0.135 farads
farads,9farads
farads,0.135 to 19 farads
milli farads,1 milli f
milli farads,1milli f
milli farads,1 to 6 milli f
milli farads,2 milli f
milli farads,2milli f
milli farads,2 to 7 milli f
milli farads,3 milli f
milli farads,3milli f
milli farads,3 to 8 milli f
milli farads,4 milli f
milli farads,4milli f
milli farads,4 to 9 milli f
milli farads,5 milli f
milli farads,5milli f
milli farads,5 to 10 milli f
milli farads,6 milli f
milli farads,6milli f
milli farads,6 to 11 milli f
milli farads,7 milli f
milli farads,7milli f
milli farads,7 to 12 milli f
milli farads,8 milli f
milli farads,8milli f
milli farads,8 to 13 milli f
milli farads,0 milli f
milli farads,0milli f
milli farads,0 to 20 milli f
milli farads,20 milli f
milli farads,20milli f
milli farads,20 to 40 milli f
milli farads,40 milli f
milli farads,40milli f
milli farads,40 to 60 milli f
milli farads,60 milli f
milli farads,60milli f
milli farads,60 to 80 milli f
milli farads,80 milli f
milli farads,80milli f
milli farads,80 to 100 milli f
milli farads,100 milli f
milli farads,100milli f
milli farads,100 to 120 milli f
milli farads,100 milli f
milli farads,100milli f
milli farads,100 to 150 milli f
milli farads,121 milli f
milli farads,121milli f
milli farads,121 to 171 milli f
milli farads,142 milli f
milli farads,142milli f
milli farads,142 to 192 milli f
milli farads,163 milli f
milli farads,163milli f
milli farads,163 to 213 milli f
milli farads,184 milli f
milli farads,184milli f
milli farads,184 to 234 milli f
milli farads,205 milli f
milli farads,205milli f
milli farads,205 to 255 milli f
milli farads,226 milli f
milli farads,226milli f
milli farads,226 to 276 milli f
milli farads,247 milli f
milli farads,247milli f
milli farads,247 to 297 milli f
milli farads,268 milli f
milli farads,268milli f
milli farads,268 to 318 milli f
milli farads,289 milli f
milli farads,289milli f
milli farads,289 to 339 milli f
milli farads,0.0 milli f
milli farads,0milli f
milli farads,0.005 milli f
milli farads,1milli f
milli farads,0.01 milli f
milli farads,2milli f
milli farads,0.015 milli f
milli farads,3milli f
milli farads,0.02 milli f
milli farads,4milli f
milli farads,0.025 milli f
milli farads,5milli f
milli farads,0.03 milli f
milli farads,6milli f
milli farads,0.035 milli f
milli farads,7milli f
milli farads,0.04 milli f
milli farads,8milli f
milli farads,0.045 milli f
milli farads,9milli f
milli farads,0.0 milli f
milli farads,0milli f
milli farads,0.0 to 10 milli f
milli farads,0.015 milli f
milli farads,1milli f
milli farads,0.015 to 11 milli f
milli farads,0.03 milli f
milli farads,2milli f
milli farads,0.03 to 12 milli f
milli farads,0.045 milli f
milli farads,3milli f
milli farads,0.045 to 13 milli f
milli farads,0.06 milli f
milli farads,4milli f
milli farads,0.06 to 14 milli f
milli farads,0.075 milli f
milli farads,5milli f
milli farads,0.075 to 15 milli f
milli farads,0.09 milli f
milli farads,6milli f
milli farads,0.09 to 16 milli f
milli farads,0.105 milli f
milli farads,7milli f
milli farads,0.105 to 17 milli f
milli farads,0.12 milli f
milli farads,8milli f
milli farads,0.12 to 18 milli f
milli farads,0.135 milli f
milli farads,9milli f
milli farads,0.135 to 19 milli f
milli farads,1 millif
milli farads,1millif
milli farads,1 to 6 millif
milli farads,2 millif
milli farads,2millif
milli farads,2 to 7 millif
milli farads,3 millif
milli farads,3millif
milli farads,3 to 8 millif
milli farads,4 millif
milli farads,4millif
milli farads,4 to 9 millif
milli farads,5 millif
milli farads,5millif
milli farads,5 to 10 millif
milli farads,6 millif
milli farads,6millif
milli farads,6 to 11 millif
milli farads,7 millif
milli farads,7millif
milli farads,7 to 12 millif
milli farads,8 millif
milli farads,8millif
milli farads,8 to 13 millif
milli farads,0 millif
milli farads,0millif
milli farads,0 to 20 millif
milli farads,20 millif
milli farads,20millif
milli farads,20 to 40 millif
milli farads,40 millif
milli farads,40millif
milli farads,40 to 60 millif
milli farads,60 millif
milli farads,60millif
milli farads,60 to 80 millif
milli farads,80 millif
milli farads,80millif
milli farads,80 to 100 millif
milli farads,100 millif
milli farads,100millif
milli farads,100 to 120 millif
milli farads,100 millif
milli farads,100millif
milli farads,100 to 150 millif
milli farads,121 millif
milli farads,121millif
milli farads,121 to 171 millif
milli farads,142 millif
milli farads,142millif
milli farads,142 to 192 millif
milli farads,163 millif
milli farads,163millif
milli farads,163 to 213 millif
milli farads,184 millif
milli farads,184millif
milli farads,184 to 234 millif
milli farads,205 millif
milli farads,205millif
milli farads,205 to 255 millif
milli farads,226 millif
milli farads,226millif
milli farads,226 to 276 millif
milli farads,247 millif
milli farads,247millif
milli farads,247 to 297 millif
milli farads,268 millif
milli farads,268millif
milli farads,268 to 318 millif
milli farads,289 millif
milli farads,289millif
milli farads,289 to 339 millif
milli farads,0.0 millif
milli farads,0millif
milli farads,0.005 millif
milli farads,1millif
milli farads,0.01 millif
milli farads,2millif
milli farads,0.015 millif
milli farads,3millif
milli farads,0.02 millif
milli farads,4millif
milli farads,0.025 millif
milli farads,5millif
milli farads,0.03 millif
milli farads,6millif
milli farads,0.035 millif
milli farads,7millif
milli farads,0.04 millif
milli farads,8millif
milli farads,0.045 millif
milli farads,9millif
milli farads,0.0 millif
milli farads,0millif
milli farads,0.0 to 10 millif
milli farads,0.015 millif
milli farads,1millif
milli farads,0.015 to 11 millif
milli farads,0.03 millif
milli farads,2millif
milli farads,0.03 to 12 millif
milli farads,0.045 millif
milli farads,3millif
milli farads,0.045 to 13 millif
milli farads,0.06 millif
